Speaker_ID,Sex,Chapter,Audio_Length,Tempo,Mean_F0,F0_Std
6241_M,0,6241-61943-0021.flac,2.52,143.5546875,153,80.9520068
8842_F,1,8842-302196-0008.flac,5.310022676,107.6660156,234,2167.255984
6345_F,1,6345-93302-0025.flac,2.935011338,80.74951172,234,2022.842849
6241_M,0,6241-61946-0009.flac,4.290022676,143.5546875,153,1719.895568
6313_F,1,6313-66129-0011.flac,2.215011338,117.4538352,985.7667554,891.7771489
3170_M,0,3170-137482-0030.flac,6.375011338,112.3471467,956.6917376,1899.372645
6313_F,1,6313-66125-0002.flac,3.075011338,117.4538352,840.929006,790.5276432
7850_F,1,7850-281318-0008.flac,6.110022676,112.3471467,758.7367804,1524.088218
6313_F,1,6313-66129-0012.flac,3.090022676,143.5546875,635.8811091,712.0071747
5338_F,1,5338-284437-0025.flac,1.94,66.25600962,632.690337,629.559586
7850_F,1,7850-73752-0004.flac,3.865034014,135.9991776,617.3307159,733.0705649
6313_F,1,6313-66125-0013.flac,2.06,143.5546875,609.11975,636.959446
5694_M,0,5694-64029-0014.flac,3.82,143.5546875,595.3612229,724.0042015
6345_F,1,6345-93306-0019.flac,7.670022676,95.703125,582.7295872,1300.715689
6313_F,1,6313-76958-0030.flac,2.265034014,143.5546875,579.9161491,477.8446378
7850_F,1,7850-281318-0016.flac,3.305034014,123.046875,553.7299112,701.6527435
7850_F,1,7850-281318-0018.flac,4.72,66.25600962,543.1814598,658.3493408
5338_F,1,5338-284437-0003.flac,2.730022676,117.4538352,538.9265229,680.0532021
5694_M,0,5694-64029-0027.flac,4.170022676,112.3471467,532.3525165,666.0520071
6345_F,1,6345-93302-0007.flac,4.370022676,92.28515625,528.5910388,864.3820246
7850_F,1,7850-73752-0019.flac,3.075011338,83.35433468,527.6667531,702.8538658
6345_F,1,6345-93306-0025.flac,11.55002268,117.4538352,507.4149298,1356.813647
7850_F,1,7850-73752-0011.flac,2.96,92.28515625,498.682736,688.698082
6295_M,0,6295-64301-0006.flac,6.54,103.359375,488.5110858,1299.323966
7850_F,1,7850-111771-0005.flac,3.295011338,99.38401442,481.7289922,602.3136119
6345_F,1,6345-64257-0008.flac,3.205034014,103.359375,467.9750884,589.1978107
5694_M,0,5694-64029-0002.flac,2.645034014,89.10290948,466.8575032,628.2458388
5338_F,1,5338-284437-0033.flac,2.075011338,80.74951172,465.8898855,545.7109045
7850_F,1,7850-281318-0005.flac,2.270022676,198.7680288,462.0499543,686.0162348
7850_F,1,7850-111771-0006.flac,3.830022676,112.3471467,452.4913312,600.3471741
